user_id,signup_month,active_month,plan,mrr,churned
U1001,2024.01,2024.01,pro,400000,1
U1002,2024.01,2024.01,starter,100000,1
U1003,2024.01,2024.01,pro,400000,0
U1003,2024.01,2024.02,pro,408000,0
U1003,2024.01,2024.03,pro,416000,0
U1003,2024.01,2024.04,pro,424000,0
U1003,2024.01,2024.05,pro,432000,1
U1004,2024.01,2024.01,starter,100000,0
U1004,2024.01,2024.02,starter,100000,1
U1005,2024.01,2024.01,starter,100000,0
U1005,2024.01,2024.02,starter,100000,0
U1005,2024.01,2024.03,starter,100000,0
U1005,2024.01,2024.04,starter,100000,0
U1005,2024.01,2024.05,starter,100000,0
U1005,2024.01,2024.06,starter,100000,0
U1006,2024.01,2024.01,starter,100000,0
U1006,2024.01,2024.02,starter,100000,0
U1006,2024.01,2024.03,starter,100000,0
U1006,2024.01,2024.04,starter,100000,0
U1006,2024.01,2024.05,starter,100000,0
U1006,2024.01,2024.06,starter,100000,0
U1007,2024.01,2024.01,starter,100000,1
U1008,2024.01,2024.01,starter,100000,0
U1008,2024.01,2024.02,starter,100000,0
U1008,2024.01,2024.03,starter,100000,0
U1008,2024.01,2024.04,starter,100000,0
U1008,2024.01,2024.05,starter,100000,0
U1008,2024.01,2024.06,starter,100000,0
U1009,2024.01,2024.01,enterprise,2000000,0
U1009,2024.01,2024.02,enterprise,2040000,0
U1009,2024.01,2024.03,enterprise,2080000,0
U1009,2024.01,2024.04,enterprise,2120000,0
U1009,2024.01,2024.05,enterprise,2160000,0
U1009,2024.01,2024.06,enterprise,2200000,0
U1010,2024.01,2024.01,pro,400000,0
U1010,2024.01,2024.02,pro,408000,1
U1011,2024.01,2024.01,starter,100000,0
U1011,2024.01,2024.02,starter,100000,1
U1012,2024.01,2024.01,starter,100000,1
U1013,2024.01,2024.01,starter,100000,0
U1013,2024.01,2024.02,starter,100000,0
U1013,2024.01,2024.03,starter,100000,0
U1013,2024.01,2024.04,starter,100000,0
U1013,2024.01,2024.05,starter,100000,0
U1013,2024.01,2024.06,starter,100000,0
U1014,2024.01,2024.01,business,900000,0
U1014,2024.01,2024.02,business,918000,0
U1014,2024.01,2024.03,business,936000,0
U1014,2024.01,2024.04,business,954000,0
U1014,2024.01,2024.05,business,972000,0
U1014,2024.01,2024.06,business,990000,0
U1015,2024.01,2024.01,starter,100000,0
U1015,2024.01,2024.02,starter,100000,0
U1015,2024.01,2024.03,starter,100000,0
U1015,2024.01,2024.04,starter,100000,0
U1015,2024.01,2024.05,starter,100000,0
U1015,2024.01,2024.06,starter,100000,0
U1016,2024.01,2024.01,pro,400000,1
U1017,2024.01,2024.01,starter,100000,0
U1017,2024.01,2024.02,starter,100000,0
U1017,2024.01,2024.03,starter,100000,0
U1017,2024.01,2024.04,starter,100000,0
U1017,2024.01,2024.05,starter,100000,0
U1017,2024.01,2024.06,starter,100000,0
U1018,2024.01,2024.01,starter,100000,0
U1018,2024.01,2024.02,starter,100000,0
U1018,2024.01,2024.03,starter,100000,0
U1018,2024.01,2024.04,starter,100000,0
U1018,2024.01,2024.05,starter,100000,0
U1018,2024.01,2024.06,starter,100000,0
U1019,2024.01,2024.01,starter,100000,0
U1019,2024.01,2024.02,starter,100000,0
U1019,2024.01,2024.03,starter,100000,0
U1019,2024.01,2024.04,starter,100000,0
U1019,2024.01,2024.05,starter,100000,0
U1019,2024.01,2024.06,starter,100000,0
U1020,2024.01,2024.01,starter,100000,0
U1020,2024.01,2024.02,starter,100000,0
U1020,2024.01,2024.03,starter,100000,0
U1020,2024.01,2024.04,starter,100000,0
U1020,2024.01,2024.05,starter,100000,0
U1020,2024.01,2024.06,starter,100000,0
U1021,2024.01,2024.01,pro,400000,0
U1021,2024.01,2024.02,pro,408000,0
U1021,2024.01,2024.03,pro,416000,0
U1021,2024.01,2024.04,pro,424000,0
U1021,2024.01,2024.05,pro,432000,0
U1021,2024.01,2024.06,pro,440000,0
U1022,2024.01,2024.01,pro,400000,0
U1022,2024.01,2024.02,pro,408000,0
U1022,2024.01,2024.03,pro,416000,1
U1023,2024.01,2024.01,pro,400000,0
U1023,2024.01,2024.02,pro,408000,0
U1023,2024.01,2024.03,pro,416000,0
U1023,2024.01,2024.04,pro,424000,0
U1023,2024.01,2024.05,pro,432000,0
U1023,2024.01,2024.06,pro,440000,0
U1024,2024.01,2024.01,starter,100000,0
U1024,2024.01,2024.02,starter,100000,0
U1024,2024.01,2024.03,starter,100000,0
U1024,2024.01,2024.04,starter,100000,0
U1024,2024.01,2024.05,starter,100000,0
U1024,2024.01,2024.06,starter,100000,0
U1025,2024.01,2024.01,starter,100000,0
U1025,2024.01,2024.02,starter,100000,0
U1025,2024.01,2024.03,starter,100000,0
U1025,2024.01,2024.04,starter,100000,0
U1025,2024.01,2024.05,starter,100000,0
U1025,2024.01,2024.06,starter,100000,0
U1026,2024.01,2024.01,starter,100000,0
U1026,2024.01,2024.02,starter,100000,0
U1026,2024.01,2024.03,starter,100000,0
U1026,2024.01,2024.04,starter,100000,0
U1026,2024.01,2024.05,starter,100000,1
U1027,2024.01,2024.01,starter,100000,1
